A f0
1.5923659740749085e-23 91.66507402551447
1.9025008462619744e-23 109.35917637344868
5.8381117877697835e-24 108.14901969544445
1.574984171099649e-23 108.35009682558932
6.705505668905436e-24 97.34369525211075
1.0615569763055083e-23 95.32429424401414
5.115141203145327e-24 102.16246050884027
1.40898879878939e-23 95.37079425654869
7.17521425406157e-24 95.6936534612709
8.619142319552024e-24 104.05989906049857
1.8515554743823236e-23 102.56145621227725
5.058623273732475e-24 90.72456244061162
3.1794757397410427e-24 91.1735606457366
5.714999947673805e-24 100.68519565052378
4.005276189086782e-24 101.87930295081925
2.6511748401529625e-24 96.08516310781903
2.1403571084101338e-24 101.08849891679989
1.461938155440403e-23 103.40301606519115
3.795779899821922e-24 102.8013339556723
1.3010848466591987e-23 105.4382034050567
2.0009647628538007e-24 98.93142452193247
4.2304356160723985e-24 97.3267491602523
4.1057664542063825e-24 104.72647321387944
2.175444998862764e-24 90.90159410355207
4.2602453741026516e-24 93.23671324451837
4.898002975580689e-24 109.13404647903968
1.853213546005609e-24 101.09505676437279
1.8085018576292775e-24 104.95104220774655
2.3036326874604257e-24 96.10519934868813
4.123638527486741e-24 94.80500302712325
5.3850469584191335e-24 108.81819620038094
5.521155164521178e-24 90.65996991852447
6.857650697166543e-24 100.6297706495135
1.746314471195559e-24 90.91750206255115
5.29291218304179e-24 93.30599654651661
4.9957562165170416e-24 100.66055552497016
2.7540887900381163e-24 94.93960265818058
1.925354680496991e-24 96.03570203926161
2.7947491311025258e-24 106.02003656586348
1.6247977689593697e-24 90.96373361807052
3.406386875618588e-24 103.22617406634917
7.059381675492427e-24 91.71706001437893
1.2512510612617564e-23 92.37663128095016
7.73763417084483e-24 91.40484872608413
1.820641712008506e-24 101.1615300939614
2.9678367134500176e-24 95.12846742533239
1.745638864395771e-24 105.14010267802261
1.1925940960555832e-23 109.34997466800385
5.561928776666866e-24 95.65479691660467
1.005322301955113e-23 90.57076110997183
3.1974561355006236e-24 92.08251990834587
5.40415523414794e-24 93.86919207584795
2.502701090025659e-24 105.98641808501152
1.3534265168845448e-23 101.5295615920847
