frequency,plus,cross
45.0,(-1.2016304165439701e-24+3.2950311030046403e-23j),(-3.284485409822321e-23-1.197649991091211e-24j)
45.5,(-5.543563597243288e-24-3.182122991201624e-23j),(3.1719383092606104e-23-5.5258822901513304e-24j)
46.0,(1.196462235591033e-23+2.936891589731433e-23j),(-2.927491516768168e-23+1.1926258806806266e-23j)
46.5,(-1.730289995899158e-23-2.5197395300692924e-23j),(2.5116860009323403e-23-1.7247340622760847e-23j)
47.0,(2.0859898060879257e-23+2.0179491742938198e-23j),(-2.0115144604531763e-23+2.0792954112050205e-23j)
47.5,(-2.2758771178005563e-23-1.5144089442059656e-23j),(1.509592695657276e-23-2.268579875916456e-23j)
48.0,(2.3406465811910298e-23+1.0636059725873506e-23j),(-1.0602342718235341e-23+2.3331461777434504e-23j)
48.5,(-2.344588173308958e-23-6.783036783795661e-24j),(6.761661878804412e-24-2.3370745192717368e-23j)
49.0,(2.301215137147485e-23+3.2698752667778907e-24j),(-3.2598103610389004e-24+2.2938404750388255e-23j)
49.5,(-2.2038713941289622e-23-3.001145353503619e-25j),(2.996116971962001e-25-2.196815030533915e-23j)
50.0,(2.0938810491915355e-23-1.9331220404287764e-24j),(1.9264858600036732e-24+2.0871846624680935e-23j)
50.5,(-2.0122538954712537e-23+3.7664275887268e-24j),(-3.7539616079363046e-24-2.005822002346104e-23j)
51.0,(1.9488417914834248e-23-5.596543552021536e-24j),(5.578240832332327e-24+1.9426129812200956e-23j)
51.5,(-1.885181124522075e-23+7.548826207782522e-24j),(-7.524268424601727e-24-1.8791550864565835e-23j)
52.0,(1.7956399705391013e-23-9.64229189216846e-24j),(9.610996460405043e-24+1.789901591744546e-23j)
52.5,(-1.664030985116631e-23+1.1615286134771275e-23j),(-1.157764331930705e-23-1.6587190154325004e-23j)
53.0,(1.5077091745318843e-23-1.3214407885741333e-23j),(1.3172077864815698e-23+1.502866051856687e-23j)
53.5,(-1.3543766637033867e-23+1.4474733915133236e-23j),(-1.4428379584680533e-23-1.3500285591266016e-23j)
54.0,(1.2105522597897177e-23-1.564633860922409e-23j),(1.559623754222419e-23+1.2066663088353463e-23j)
54.5,(-1.0573232756144507e-23+1.6813249959419232e-23j),(-1.6759400994524336e-23-1.0539302996844932e-23j)
55.0,(8.867844973987942e-24-1.7849724935613807e-23j),(1.7792552378067723e-23+8.83941826102691e-24j)
55.5,(-7.038754277712888e-24+1.8674489611003414e-23j),(-1.8614691493867818e-23-7.016234086095621e-24j)
56.0,(4.918592579857693e-24-2.0070299993509833e-23j),(2.0005967896722725e-23+4.9029353582021666e-24j)
56.5,(-3.0054024342829377e-24+2.0389928750262805e-23j),(-2.032463250482335e-23-2.9959055476141253e-24j)
