
0it [00:00, ?it/s]
407it [07:01,  4.03it/s, bound:0 nc:  3 ncall:1.2e+03 eff:34.7% logz-ratio=-86.46+/-0.14 dlogz:251.703>0.1]
411it [07:03,  3.53it/s, bound:0 nc:  4 ncall:1.2e+03 eff:34.5% logz-ratio=-84.80+/-0.14 dlogz:250.204>0.1]
415it [07:04,  3.24it/s, bound:0 nc:  4 ncall:1.2e+03 eff:34.4% logz-ratio=-83.42+/-0.14 dlogz:248.648>0.1]
424it [07:05,  3.82it/s, bound:0 nc:  3 ncall:1.2e+03 eff:34.7% logz-ratio=-78.97+/-0.15 dlogz:244.327>0.1]
430it [07:07,  3.95it/s, bound:0 nc:  4 ncall:1.2e+03 eff:34.7% logz-ratio=-77.02+/-0.14 dlogz:242.245>0.1]
437it [07:08,  4.26it/s, bound:0 nc:  1 ncall:1.3e+03 eff:34.9% logz-ratio=-75.06+/-0.14 dlogz:240.243>0.1]
445it [07:10,  4.68it/s, bound:0 nc:  1 ncall:1.3e+03 eff:35.1% logz-ratio=-72.46+/-0.14 dlogz:237.664>0.1]
453it [07:11,  5.04it/s, bound:0 nc:  4 ncall:1.3e+03 eff:35.2% logz-ratio=-70.19+/-0.14 dlogz:235.248>0.1]
459it [07:12,  4.80it/s, bound:0 nc:  5 ncall:1.3e+03 eff:35.2% logz-ratio=-68.20+/-0.14 dlogz:233.487>0.1]
464it [07:14,  4.36it/s, bound:0 nc:  3 ncall:1.3e+03 eff:35.2% logz-ratio=-65.93+/-0.15 dlogz:231.200>0.1]
471it [07:15,  4.54it/s, bound:0 nc:  1 ncall:1.3e+03 eff:35.3% logz-ratio=-63.83+/-0.14 dlogz:228.883>0.1]
479it [07:16,  4.98it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.5% logz-ratio=-60.22+/-0.15 dlogz:225.485>0.1]
488it [07:18,  5.32it/s, bound:0 nc:  4 ncall:1.4e+03 eff:35.7% logz-ratio=-57.11+/-0.14 dlogz:222.265>0.1]
490it [07:19,  2.86it/s, bound:0 nc:  5 ncall:1.4e+03 eff:35.4% logz-ratio=-56.59+/-0.14 dlogz:221.608>0.1]
495it [07:20,  3.05it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.4% logz-ratio=-55.62+/-0.14 dlogz:220.584>0.1]
500it [07:22,  3.19it/s, bound:0 nc:  5 ncall:1.4e+03 eff:35.4% logz-ratio=-54.26+/-0.14 dlogz:219.366>0.1]
504it [07:23,  3.09it/s, bound:0 nc:  4 ncall:1.4e+03 eff:35.2% logz-ratio=-53.02+/-0.14 dlogz:218.036>0.1]
508it [07:25,  2.95it/s, bound:0 nc:  6 ncall:1.4e+03 eff:35.2% logz-ratio=-51.75+/-0.14 dlogz:216.867>0.1]
514it [07:26,  3.22it/s, bound:0 nc:  1 ncall:1.5e+03 eff:35.2% logz-ratio=-49.28+/-0.15 dlogz:214.313>0.1]
518it [07:28,  3.09it/s, bound:0 nc:  2 ncall:1.5e+03 eff:35.0% logz-ratio=-48.38+/-0.14 dlogz:213.298>0.1]
524it [07:29,  3.32it/s, bound:0 nc:  1 ncall:1.5e+03 eff:35.1% logz-ratio=-47.33+/-0.14 dlogz:212.237>0.1]
531it [07:31,  3.66it/s, bound:0 nc: 12 ncall:1.5e+03 eff:35.0% logz-ratio=-45.26+/-0.14 dlogz:210.326>0.1]
532it [07:32,  1.66it/s, bound:0 nc:  6 ncall:1.5e+03 eff:34.9% logz-ratio=-44.89+/-0.14 dlogz:209.965>0.1]
541it [07:33,  2.14it/s, bound:0 nc:  1 ncall:1.5e+03 eff:35.1% logz-ratio=-42.49+/-0.14 dlogz:207.377>0.1]
