A f0
2.1167613953390236e-23 97.39954891077106
8.241020125992275e-24 102.1845162899764
1.6927714559398725e-23 103.67437513437145
9.031412141471231e-24 90.31664618161794
1.0563916379532757e-23 94.29124663368245
9.712247944980194e-24 92.29974107321537
2.0841065219015993e-24 109.09545643357399
3.067536939704888e-23 106.38153955397229
8.68822161674787e-24 109.64798611362568
3.913336320319165e-24 92.99369299553219
5.456378606680956e-23 104.5587785660654
1.9530453556570637e-23 103.63532020767772
3.498497366423239e-24 93.01306611921947
9.2673137562928e-24 90.36125268361278
5.718773279417073e-24 106.92802029731213
3.667682239746121e-24 93.99695302980402
4.794064696189289e-24 95.94969047260554
1.1645372687922885e-23 93.65543541804055
6.23458393109124e-24 102.19406485794724
8.235258389400727e-24 92.3087314400972
2.2357995186723527e-24 101.2954849920247
4.520003437281847e-24 92.19160110587893
1.571534767577595e-23 90.64288235379041
7.313312678783458e-24 95.77687748904802
6.13860790491272e-24 97.3674840379156
7.116000520998603e-24 109.6333097491365
2.174517552432709e-23 96.49047443406369
1.8478646980222047e-24 96.88443043129553
2.266976276506634e-24 90.06407385839606
7.762148760872787e-24 107.66207650642498
1.0500849607026428e-23 101.50220402504989
1.9747825689992283e-24 108.7676001329207
1.95651983800586e-24 108.76499795481698
5.3378867092403014e-24 90.31234226437472
4.2503301444775e-24 90.27396240287987
5.119213168343748e-24 103.10715162573538
4.6619781406702736e-24 93.22292686054965
2.2174980152682513e-23 92.48908323883337
8.513631213773035e-24 96.57216392421097
2.50021674284945e-24 90.1771840716065
7.554600602087718e-24 104.24066833459294
2.104360250208107e-24 97.842661999927
9.822410728338996e-25 109.0197082244087
2.1742300419622565e-24 107.93869712671648
1.987876244462107e-23 98.51354579710492
2.3991796945602692e-23 90.53469715615707
1.016325466968882e-24 100.78924208659198
4.236909858938484e-24 109.39378372216875
2.4803446471674474e-24 90.18888193028909
6.5584834744103445e-25 100.9418950834285
2.786203058974436e-23 107.43681401715449
4.029355513991882e-24 93.20980573052302
5.675887823027498e-24 103.16934238207884
7.757524332149202e-24 95.22664057283744
7.240305215498653e-24 103.23383442887243
8.07558589166389e-25 101.18762988786098
1.347437003581247e-23 93.5952683772919
6.400476465274437e-25 101.11742967751387
1.1127205276656372e-23 92.60593255356011
3.893276606722075e-24 95.94444612965992
5.125052407077789e-24 101.468321380129
1.4343273142666464e-24 97.16906545588795
3.067176501479356e-24 98.2819397538635
1.5562439769882336e-24 90.0428921479302
