mass_ratio chirp_mass a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl luminosity_distance dec ra theta_jn psi phase geocent_time
0.7343898662359969 34.31538191667562 0.33170559264120325 0.055582010010830435 0.6914661443954632 0.9455703969996784 2.596976472634493 1.939627381874597 486.6645557925901 -1.1403340170454446 1.4359566779314348 0.5888618863156341 2.896930559583784 6.045284081237314 1126259462.4196625
0.7420594212960707 33.76446402188916 0.7154908175808938 0.09069544932521767 1.3108993288535098 1.9679355072001323 2.5435708624405224 5.907565395609951 382.9447677840083 -1.0770886460754214 2.540126239558889 1.9966916404219346 1.746571055307022 2.1089434245352763 1126259462.4132278
0.9591919198851846 33.3465128876663 0.7249699396675976 0.11867316277773504 1.4492183493103015 1.1912051471032266 0.9387211109394523 1.9434016083895371 513.0761971266741 -1.1200205657572377 2.034158316524841 0.6030658268253377 1.9928377871508636 3.902221857556779 1126259462.4164581
0.7802768219448825 35.69907114720918 0.7272473871994775 0.2142423472475684 0.7651264733760086 2.076934573201047 5.838134723067677 4.898392574466935 656.2736473733288 -1.1870373448091038 2.3333802991074464 2.49455713392752 1.569501495584984 5.072543299207107 1126259462.4152503
0.9725018027961722 34.034906924634214 0.7195908467693387 0.09502632826504451 1.3106284551841374 1.4857700788625592 2.2838065604258193 1.8080568739906497 505.655335450932 -1.149300219304867 2.03599317207796 0.73409797866983 2.5679833494384368 5.020304040990622 1126259462.4159322
0.8188614032422323 31.028361967925814 0.26741667039988287 0.30963102755595534 1.3175157381068263 2.0374299272536334 5.130662085276152 3.3021172582712155 334.64708789108636 -0.2968526833278878 2.6599280983399676 0.977779212895979 2.8166662585599127 3.0140639706034875 1126259462.415942
0.9480368783156963 31.10046307330584 0.49098558056766967 0.002399478506954464 1.6778966858441533 0.5534402875480835 3.3589262933825164 6.2663813912407615 619.2082855420196 -0.8970212349400922 2.491801833555878 0.15248692313228737 1.2028883882236538 1.9728841648163014 1126259462.4135203
0.6828242200659007 32.75668889437237 0.53092553764976 0.5758730238775263 1.5331219861691763 1.0594092684525935 1.9750969769622564 3.270643404673166 646.1599365028097 -0.9216123907486693 2.5411443879560895 0.3343054051801665 0.6616019758125092 1.3521342238988632 1126259462.4137177
0.7952394343960761 33.194846048079405 0.08373406249260137 0.8639005693597611 1.4034283220571881 1.2731365549082074 0.3623371990974976 3.239796210153056 403.30971090359327 -1.012948600982426 2.6238582199951015 1.1499132411174984 2.8969253190780195 2.100515587067321 1126259462.4130113
0.861183856658886 33.8992528859598 0.7115774653448286 0.24122746552454682 1.0328873576762894 2.140865293604439 0.9018512812445154 1.6476844559358512 522.6606812351625 -0.7476963688610234 2.6337268084130634 0.8851080223181327 2.110101720344127 0.9132696359837943 1126259462.4134586
0.7917414204072125 35.760899513981634 0.9051447169989835 0.15600273001211962 1.0268072526798886 2.03106686875552 1.0135156349179109 4.483444865662613 510.17185145784816 -1.117521582345703 2.522936851361976 2.0495904858989067 1.365081125546807 3.7386894800281008 1126259462.413925
