
0it [00:00, ?it/s]
262it [05:57,  4.67it/s, bound:0 nc:  1 ncall:8.4e+02 eff:31.0% logz-ratio=148.44+/-0.07 dlogz:4.251>0.1]
267it [05:58,  4.69it/s, bound:0 nc:  2 ncall:8.5e+02 eff:31.3% logz-ratio=148.46+/-0.07 dlogz:4.222>0.1]
273it [05:59,  4.91it/s, bound:0 nc:  4 ncall:8.6e+02 eff:31.6% logz-ratio=148.49+/-0.07 dlogz:4.188>0.1]
276it [06:00,  4.31it/s, bound:0 nc:  2 ncall:8.7e+02 eff:31.8% logz-ratio=148.50+/-0.07 dlogz:4.171>0.1]
282it [06:01,  4.74it/s, bound:0 nc:  2 ncall:8.8e+02 eff:32.2% logz-ratio=148.52+/-0.06 dlogz:4.138>0.1]
287it [06:02,  4.86it/s, bound:0 nc:  8 ncall:8.9e+02 eff:32.3% logz-ratio=148.54+/-0.06 dlogz:4.110>0.1]
291it [06:03,  4.71it/s, bound:0 nc:  1 ncall:8.9e+02 eff:32.6% logz-ratio=148.55+/-0.06 dlogz:4.089>0.1]
297it [06:04,  5.11it/s, bound:0 nc:  1 ncall:9.0e+02 eff:33.0% logz-ratio=148.57+/-0.06 dlogz:4.056>0.1]
302it [06:05,  5.02it/s, bound:0 nc:  3 ncall:9.1e+02 eff:33.2% logz-ratio=148.59+/-0.06 dlogz:4.030>0.1]
306it [06:06,  4.78it/s, bound:0 nc:  4 ncall:9.2e+02 eff:33.3% logz-ratio=148.60+/-0.06 dlogz:4.009>0.1]
309it [06:07,  4.07it/s, bound:0 nc:  2 ncall:9.3e+02 eff:33.4% logz-ratio=148.61+/-0.06 dlogz:3.993>0.1]
312it [06:08,  3.55it/s, bound:0 nc:  1 ncall:9.3e+02 eff:33.4% logz-ratio=148.62+/-0.06 dlogz:3.978>0.1]
316it [06:09,  3.69it/s, bound:0 nc:  2 ncall:9.4e+02 eff:33.5% logz-ratio=148.63+/-0.06 dlogz:3.958>0.1]
320it [06:10,  3.84it/s, bound:0 nc:  2 ncall:9.5e+02 eff:33.7% logz-ratio=148.65+/-0.06 dlogz:3.937>0.1]
325it [06:11,  4.17it/s, bound:0 nc:  2 ncall:9.6e+02 eff:33.9% logz-ratio=148.66+/-0.06 dlogz:3.912>0.1]
329it [06:12,  4.04it/s, bound:0 nc:  5 ncall:9.7e+02 eff:34.0% logz-ratio=148.67+/-0.06 dlogz:3.893>0.1]
334it [06:13,  4.46it/s, bound:0 nc:  1 ncall:9.7e+02 eff:34.3% logz-ratio=148.69+/-0.06 dlogz:3.868>0.1]
339it [06:13,  4.77it/s, bound:0 nc:  5 ncall:9.8e+02 eff:34.4% logz-ratio=148.70+/-0.06 dlogz:3.844>0.1]
341it [06:14,  3.37it/s, bound:0 nc:  6 ncall:9.9e+02 eff:34.3% logz-ratio=148.71+/-0.06 dlogz:3.834>0.1]
344it [06:15,  3.27it/s, bound:0 nc:  2 ncall:1.0e+03 eff:34.5% logz-ratio=148.72+/-0.06 dlogz:3.820>0.1]
351it [06:16,  4.03it/s, bound:0 nc:  1 ncall:1.0e+03 eff:34.9% logz-ratio=148.74+/-0.06 dlogz:3.787>0.1]
356it [06:17,  4.51it/s, bound:0 nc:  2 ncall:1.0e+03 eff:35.1% logz-ratio=148.75+/-0.06 dlogz:3.763>0.1]
361it [06:18,  5.04it/s, bound:0 nc:  4 ncall:1.0e+03 eff:35.3% logz-ratio=148.77+/-0.06 dlogz:3.740>0.1]
366it [06:19,  5.40it/s, bound:0 nc:  2 ncall:1.0e+03 eff:35.6% logz-ratio=148.78+/-0.06 dlogz:3.717>0.1]
372it [06:19,  6.00it/s, bound:0 nc:  5 ncall:1.0e+03 eff:35.8% logz-ratio=148.80+/-0.06 dlogz:3.690>0.1]
374it [06:20,  4.18it/s, bound:0 nc:  2 ncall:1.0e+03 eff:35.8% logz-ratio=148.80+/-0.06 dlogz:3.681>0.1]
380it [06:21,  4.94it/s, bound:0 nc:  1 ncall:1.1e+03 eff:36.1% logz-ratio=148.82+/-0.06 dlogz:3.654>0.1]
386it [06:22,  5.50it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.3% logz-ratio=148.83+/-0.06 dlogz:3.628>0.1]
390it [06:22,  5.56it/s, bound:0 nc:  1 ncall:1.1e+03 eff:36.5% logz-ratio=148.84+/-0.06 dlogz:3.610>0.1]
394it [06:23,  5.22it/s, bound:0 nc:  2 ncall:1.1e+03 eff:36.5% logz-ratio=148.85+/-0.06 dlogz:3.593>0.1]
397it [06:24,  4.80it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.6% logz-ratio=148.86+/-0.06 dlogz:3.580>0.1]
402it [06:25,  5.19it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.8% logz-ratio=148.87+/-0.05 dlogz:3.558>0.1]
404it [06:25,  3.98it/s, bound:0 nc:  5 ncall:1.1e+03 eff:36.7% logz-ratio=148.88+/-0.05 dlogz:3.550>0.1]
408it [06:26,  4.35it/s, bound:0 nc:  5 ncall:1.1e+03 eff:36.7% logz-ratio=148.89+/-0.05 dlogz:3.533>0.1]
412it [06:27,  4.66it/s, bound:0 nc:  1 ncall:1.1e+03 eff:36.9% logz-ratio=148.90+/-0.05 dlogz:3.515>0.1]
416it [06:28,  4.84it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.0% logz-ratio=148.90+/-0.05 dlogz:3.498>0.1]
420it [06:28,  5.12it/s, bound:0 nc:  7 ncall:1.1e+03 eff:36.9% logz-ratio=148.91+/-0.05 dlogz:3.481>0.1]
423it [06:29,  4.35it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.1% logz-ratio=148.92+/-0.05 dlogz:3.468>0.1]
427it [06:30,  4.52it/s, bound:0 nc:  5 ncall:1.2e+03 eff:37.1% logz-ratio=148.93+/-0.05 dlogz:3.451>0.1]
