
0it [00:00, ?it/s]
261it [06:46,  4.01it/s, bound:0 nc:  1 ncall:8.4e+02 eff:31.2% logz-ratio=-171.48+/-0.14 dlogz:290.912>0.1]
269it [06:47,  4.45it/s, bound:0 nc:  1 ncall:8.4e+02 eff:31.8% logz-ratio=-168.98+/-0.14 dlogz:288.526>0.1]
274it [06:49,  4.21it/s, bound:0 nc:  1 ncall:8.5e+02 eff:32.1% logz-ratio=-166.46+/-0.14 dlogz:285.874>0.1]
278it [06:50,  3.72it/s, bound:0 nc:  1 ncall:8.6e+02 eff:32.3% logz-ratio=-165.29+/-0.14 dlogz:284.663>0.1]
284it [06:51,  3.90it/s, bound:0 nc:  1 ncall:8.7e+02 eff:32.7% logz-ratio=-163.85+/-0.13 dlogz:283.201>0.1]
288it [06:53,  3.43it/s, bound:0 nc:  2 ncall:8.8e+02 eff:32.8% logz-ratio=-161.75+/-0.14 dlogz:281.485>0.1]
291it [06:54,  2.95it/s, bound:0 nc:  1 ncall:8.8e+02 eff:32.9% logz-ratio=-159.91+/-0.15 dlogz:279.635>0.1]
294it [06:56,  2.54it/s, bound:0 nc:  9 ncall:9.0e+02 eff:32.8% logz-ratio=-158.62+/-0.14 dlogz:278.035>0.1]
298it [06:57,  2.67it/s, bound:0 nc:  1 ncall:9.0e+02 eff:33.1% logz-ratio=-157.03+/-0.14 dlogz:276.441>0.1]
302it [06:59,  2.72it/s, bound:0 nc:  3 ncall:9.1e+02 eff:33.2% logz-ratio=-155.56+/-0.14 dlogz:275.103>0.1]
306it [07:00,  2.68it/s, bound:0 nc:  2 ncall:9.2e+02 eff:33.4% logz-ratio=-153.95+/-0.14 dlogz:273.247>0.1]
309it [07:02,  2.49it/s, bound:0 nc:  5 ncall:9.3e+02 eff:33.4% logz-ratio=-153.16+/-0.14 dlogz:272.459>0.1]
314it [07:03,  2.70it/s, bound:0 nc:  1 ncall:9.3e+02 eff:33.7% logz-ratio=-151.82+/-0.14 dlogz:271.141>0.1]
321it [07:04,  3.18it/s, bound:0 nc:  5 ncall:9.4e+02 eff:34.0% logz-ratio=-149.87+/-0.14 dlogz:269.176>0.1]
324it [07:06,  2.79it/s, bound:0 nc:  2 ncall:9.5e+02 eff:34.1% logz-ratio=-148.62+/-0.14 dlogz:268.128>0.1]
329it [07:07,  2.95it/s, bound:0 nc:  4 ncall:9.6e+02 eff:34.4% logz-ratio=-146.54+/-0.14 dlogz:265.862>0.1]
334it [07:09,  3.11it/s, bound:0 nc:  5 ncall:9.7e+02 eff:34.5% logz-ratio=-144.20+/-0.15 dlogz:264.065>0.1]
336it [07:10,  2.42it/s, bound:0 nc:  2 ncall:9.7e+02 eff:34.5% logz-ratio=-142.48+/-0.15 dlogz:262.333>0.1]
343it [07:11,  2.91it/s, bound:0 nc:  2 ncall:9.8e+02 eff:35.0% logz-ratio=-138.15+/-0.15 dlogz:257.513>0.1]
351it [07:12,  3.48it/s, bound:0 nc:  2 ncall:9.9e+02 eff:35.5% logz-ratio=-134.19+/-0.14 dlogz:253.462>0.1]
354it [07:14,  3.08it/s, bound:0 nc:  2 ncall:1.0e+03 eff:35.5% logz-ratio=-133.31+/-0.14 dlogz:252.471>0.1]
